nokontrak;Merk;ModelName;Tipe;Tahun;Warna;cc;KodeDaerah;BalaiLelang;lokasi;Transmisi;kilometer1;kilometer2;SaleDate;saleprice;grade_overrall_csis;note_csis;Brand_Norm;Model_Norm;Transmission_Norm;Year;CC_Norm;Type_Norm;lelang_price;main_type_Norm;type_tags_Norm
9481717478001;TOYOTA;CALYA;B401RA-GMZFJ CALYA 1.2 G M/T;2022;HITAM;1197;L;JBA SURABAYA;SURABAYA;MANUAL;67555;60k-100k;2025-05-20;105000000;VERY_GOOD;-BAMPER BARET DALAM, PENYOK KECIL & RENGGANG -SELURUH BODY BARET & PENYOK KECIL -RODA BELAKANG KIRI TIPIS|;toyota;calya;manual;2017;1.2;b401ra gmzfj g m t;78500000;G;
9481717720001;DAIHATSU;SIGRA;SIGRA B400RS-GMDEJ 1.0 M MT;2019;ABU ABU METALIK;1000;S;TRIBIK SURABAYA;SURABAYA;MANUAL;72130;60k-100k;2026-07-28;83000000;VERY_GOOD;bemper depan belakang baret dop roda tidak ada ban gantian indikator mesin nyala|;daihatsu;sigra;manual;2021;1;b400rs gmdej m;83000000;M;
9481717949001;DAIHATSU;SIGRA;SIGRA B401RS-GMZFJ 1.2 R MT;2020;HITAM;1200;L;ALTO SURABAYA;SURABAYA;MANUAL;82710;60k-100k;2025-04-24;91000000;GOOD;-BAMPER BARET DALAM, PENYOK KECIL & RENGGANG -SELURUH BODY BARET & PENYOK -BAN SEREP TIPIS & PECAH PECAH -BAN DEPAN KANAN KIRI TIPIS & PECAH PECAH|;daihatsu;sigra;manual;2018;1.2;b401rs gmzfj r;85500000;R;
9481718059001;TOYOTA;AGYA;AGYA 1.0 G M/T;2014;ABU ABU METALIK;1000;L;JBA SURABAYA;SURABAYA;MANUAL;127076;>100k;2026-07-14;71000000;BAD;- BAMPER BARET DALAM, PENYOK & RENGGANG  - SELURUH BODY BARET & PENYOK - BAN DEPAN KANAN TIPIS & BAN SEREP BOCOR - INDIKATOR MESIN MENYALA & SUARA MESIN KASAR, SERTA MESIN BOCOR OLI - NOPOL PALSU (L 1022 BAS)  - APAR TIDAK ADA|;toyota;agya;manual;2017;1;g m t;56000000;G;
9481718132001;TOYOTA;AVANZA;AVANZA 1.3 E M/T;2018;PUTIH;1300;L;AUKSI SURABAYA;SURABAYA;MANUAL;140128;>100k;2025-08-05;100000000;VERY_GOOD;- TIDAK ADA BARANG BERHARGA KONSUMEN - BARET DIBUMPER DEPAN;toyota;avanza;manual;2016;1.3;e m t;63000000;E;
1441702710001;HONDA;BRIO;BRIO SATYA DD1 1.2 E M/T CKD;2018;MERAH;1200;DP;JBA MAKASSAR;MAKASSAR;MANUAL;86793;60k-100k;2025-08-28;109500000;GOOD;kelengkapan kendaraan tidak lengkap |baret pada pintu sebelah kiri, kondisi mobil baik ;honda;brio;manual;2018;1.2;satya dd1 e m t ckd;75000000;E;satya
1441702727001;HONDA;BRIO;BRIO SATYA DD1 1.2 E M/T CKD;2014;ABU ABU MUDA METALIK;1200;DP;JBA MAKASSAR;MAKASSAR;MANUAL;184309;>100k;2025-02-25;74500000;GOOD;kelengkapan kendaraan tidak lengkap|bamper depan penyok, hedrolik penyanggah pintu bagasi mobil rusak tidak bisa tertahan.;honda;brio;manual;2018;1.2;satya dd1 e m t ckd;75000000;E;satya
1441702735001;HONDA;HR-V;HR V RU1 1.5 E CVT CKD;2018;HITAM MUTIARA;1497;DP;JBA MAKASSAR;MAKASSAR;AUTOMATIC;94447;60k-100k;2026-04-23;148000000;GOOD;kelengkapan kendaraan tidak lengkap.|kap bemper depan renggang, kursi sudah di modif, yg ada hanya STNK pajak, kondisi mobil baik.;honda;hr v;automatic;2015;1.5;ru1 e cvt ckd;90000000;E;cvt
1441702799001;TOYOTA;FORTUNER;FORTUNER 2.4 VRZ 4X2 A/T;2017;HITAM METALIK;2393;DD;JBA MAKASSAR;MAKASSAR;AUTOMATIC;1;<30k;2026-01-29;150000000;BAD;TIDAK ADA BARANG KONSUMEN|KACA DEPAN & SAMPING KIRI PECAH, KAP MESIN - ATAP MOBIL - BODI KIRI PENYOK PARAH DAN BARET BARET, BAN DEPAN KIRI PATAH, UNIT MASUK DEREK, KURSI BELAKANG - BEMPER BELAKANG - SANDARAN KEPALA TIDAK ADA, COVER INTERIOR BANYAK TIDAK ADA;toyota;fortuner;automatic;2016;2.4;vrz 4x2 a t;252500000;A;4x2, vrz
1441702814001;HONDA;BRIO;BRIO SATYA DD1 1.2 E M/T CKD;2019;HITAM MUTIARA;1200;DW;JBA MAKASSAR;MAKASSAR;MANUAL;71136;60k-100k;2026-07-28;117000000;VERY_GOOD;kelengkapan kendaraan tidak lengkap|bemper depan sudah di modif dan mobil sudah d upgrade dari Brio Satya ke Brio RS., kondisi mobil baik;honda;brio;manual;2018;1.2;satya dd1 e m t ckd;75000000;E;satya
1441702841001;DAIHATSU;XENIA;XENIA F651 RV GMRFJ (4X2) M/T;2014;SILVER METALIK;1298;DW;JBA MAKASSAR;MAKASSAR;MANUAL;87468;60k-100k;2025-04-24;65000000;GOOD;Kelengkapan kendaraan tidak lengkap. AC bagian tengah tidak berfungsi |bagian belakang retak, hedrolik (pintu belakang) tidak berfungsi, cover towing tidak ada, logo mobil tidak ada;daihatsu;xenia;manual;2013;1.3;f651 rv gmrfj 4x2 m t;65000000;M;4x2
